Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.04    2.41  854272/2520576     mesh_integration_weight [5]
                0.69    1.70  854272/854272      mesh_compute_dhdx [14]
                0.13    0.38  854272/854272      mesh_compute_x [18]
                0.16    0.00  854272/854272      mesh_compute_B [25]
                0.03    0.13  854272/854272      mesh_compute_H [26]
                0.15    0.00  854272/854272      mesh_compute_l [27]
                0.09    0.04  854272/854272      mesh_inverse [28]
-----------------------------------------------
                0.00    0.00     216/176357592     mesh_init_shape_at_gauss [62]
                1.33    0.00 44089344/176357592     mesh_compute_dhdx [14]
                4.00    0.00 132268032/176357592     mesh_compute_dxdr [6]
[10]    43.2    5.33    0.00 176357592         mesh_eight_node_hexahedron_dhdr [10]
-----------------------------------------------
                0.26    2.71       1/1           wasora_step [3]
[11]    24.0    0.26    2.71       1         wasora_instruction_mesh [11]
                0.04    2.41  854272/2520576     mesh_integration_weight [5]
                0.00    0.10   98421/98421       kd_insert [31]
                0.03    0.06       1/1           mesh_gmsh_readmesh [32]
                0.01    0.06       1/1           mesh_element2cell [36]
                0.00    0.00       2/4           wasora_vector_init [147]
                0.00    0.00       1/1           kd_create [165]
-----------------------------------------------
                0.03    2.44       1/1           milonga_instruction_step [4]
[12]    20.0    0.03    2.44       1         diffusion_elements_normalize_flux [12]
                0.09    2.33  109824/109824      mesh_integral_over_element [13]
                0.00    0.01   76544/1377792     mesh_hexahedron_vol [22]
                0.00    0.00   33280/465920      mesh_prism_vol [40]
-----------------------------------------------
                0.09    2.33  109824/109824      diffusion_elements_normalize_flux [12]
[13]    19.6    0.09    2.33  109824         mesh_integral_over_element [13]
                0.04    2.29  812032/2520576     mesh_integration_weight [5]
-----------------------------------------------
                0.69    1.70  854272/854272      mesh_compute_fem_objects_at_gauss [9]
[14]    19.3    0.69    1.70  854272         mesh_compute_dhdx [14]
                1.33    0.00 44089344/176357592     mesh_eight_node_hexahedron_dhdr [10]
                0.35    0.00 10782720/43131006     mesh_six_node_prism_dhdr [15]
                0.01    0.00  614400/1843240     mesh_four_node_quad_dhdr [41]
                0.00    0.00   46080/138264      mesh_three_node_triang_dhdr [83]
-----------------------------------------------
                0.00    0.00     126/43131006     mesh_init_shape_at_gauss [62]
                0.35    0.00 10782720/43131006     mesh_compute_dhdx [14]
                1.06    0.00 32348160/43131006     mesh_compute_dxdr [6]
[15]    11.4    1.41    0.00 43131006         mesh_six_node_prism_dhdr [15]
-----------------------------------------------
                0.00    0.00      72/34291784     mesh_init_shape_at_gauss [62]
                0.10    0.00 4898816/34291784     mesh_compute_H [26]
                0.30    0.00 14696448/34291784     mesh_compute_h [17]
                0.30    0.00 14696448/34291784     mesh_compute_x [18]
[16]     5.6    0.69    0.00 34291784         mesh_eight_node_hexahedron_h [16]
-----------------------------------------------
                0.14    0.38 2520576/2520576     mesh_integration_weight [5]
[17]     4.2    0.14    0.38 2520576         mesh_compute_h [17]
                0.30    0.00 14696448/34291784     mesh_eight_node_hexahedron_h [16]
                0.08    0.00 3594240/8386602     mesh_six_node_prism_h [23]
                0.00    0.00  307200/921620      mesh_four_node_quad_h [57]
                0.00    0.00   23040/69132       mesh_three_node_triang_h [85]
-----------------------------------------------
                0.13    0.38  854272/854272      mesh_compute_fem_objects_at_gauss [9]
[18]     4.1    0.13    0.38  854272         mesh_compute_x [18]
                0.30    0.00 14696448/34291784     mesh_eight_node_hexahedron_h [16]
                0.08    0.00 3594240/8386602     mesh_six_node_prism_h [23]
                0.00    0.00  460800/921620      mesh_four_node_quad_h [57]
                0.00    0.00   34560/69132       mesh_three_node_triang_h [85]
-----------------------------------------------
                0.11    0.30       1/1           milonga_instruction_step [4]
[19]     3.3    0.11    0.30       1         diffusion_elements_results_fill_power [19]
                0.04    0.17 1224704/1377792     mesh_hexahedron_vol [22]
                0.05    0.00  812032/5726477     wasora_evaluate_expression [20]
                0.02    0.03  399360/465920      mesh_prism_vol [40]
-----------------------------------------------
                0.00    0.00       1/5726477     wasora_evaluate_expression_in_string [80]
                0.00    0.00       4/5726477     mesh_gmsh_readmesh [32]
                0.00    0.00       8/5726477     wasora_instruction_print [77]
                0.00    0.00   42240/5726477     diffusion_elements_build_robin_objects [21]
                0.05    0.00  812032/5726477     diffusion_elements_results_fill_power [19]
                0.27    0.00 4872192/5726477     diffusion_elements_build_volume_objects [8]
[20]     2.6    0.32    0.00 5726477         wasora_evaluate_expression [20]
-----------------------------------------------
                0.00    0.30   10880/10880       diffusion_elements_matrices_build [7]
[21]     2.4    0.00    0.30   10880         diffusion_elements_build_robin_objects [21]
                0.00    0.29   42240/854272      mesh_compute_fem_objects_at_gauss [9]
                0.00    0.00   42240/5726477     wasora_evaluate_expression [20]
                0.00    0.00       2/4           diffusion_elements_allocate_particular_elemental_objects [142]
-----------------------------------------------
                0.00    0.01   76544/1377792     diffusion_elements_normalize_flux [12]
                0.00    0.01   76544/1377792     mesh_element2cell [36]
                0.04    0.17 1224704/1377792     diffusion_elements_results_fill_power [19]
[22]     1.9    0.05    0.19 1377792         mesh_hexahedron_vol [22]
                0.11    0.00 8266752/9664512     mesh_cross_dot [29]
                0.08    0.00 24800256/29131264     mesh_subtract [33]
-----------------------------------------------
                0.00    0.00      42/8386602     mesh_init_shape_at_gauss [62]
                0.03    0.00 1198080/8386602     mesh_compute_H [26]
                0.08    0.00 3594240/8386602     mesh_compute_h [17]
                0.08    0.00 3594240/8386602     mesh_compute_x [18]
[23]     1.5    0.19    0.00 8386602         mesh_six_node_prism_h [23]
-----------------------------------------------
                0.04    0.00  854272/3374848     mesh_inverse [28]
                0.12    0.00 2520576/3374848     mesh_integration_weight [5]
[24]     1.3    0.16    0.00 3374848         mesh_determinant [24]
-----------------------------------------------
                0.16    0.00  854272/854272      mesh_compute_fem_objects_at_gauss [9]
[25]     1.3    0.16    0.00  854272         mesh_compute_B [25]
-----------------------------------------------
                0.03    0.13  854272/854272      mesh_compute_fem_objects_at_gauss [9]
[26]     1.3    0.03    0.13  854272         mesh_compute_H [26]
                0.10    0.00 4898816/34291784     mesh_eight_node_hexahedron_h [16]
                0.03    0.00 1198080/8386602     mesh_six_node_prism_h [23]
                0.00    0.00  153600/921620      mesh_four_node_quad_h [57]
                0.00    0.00   11520/69132       mesh_three_node_triang_h [85]
-----------------------------------------------
                0.15    0.00  854272/854272      mesh_compute_fem_objects_at_gauss [9]
[27]     1.2    0.15    0.00  854272         mesh_compute_l [27]
-----------------------------------------------
                0.09    0.04  854272/854272      mesh_compute_fem_objects_at_gauss [9]
[28]     1.1    0.09    0.04  854272         mesh_inverse [28]
                0.04    0.00  854272/3374848     mesh_determinant [24]
-----------------------------------------------
                0.02    0.00 1397760/9664512     mesh_prism_vol [40]
                0.11    0.00 8266752/9664512     mesh_hexahedron_vol [22]
[29]     1.1    0.13    0.00 9664512         mesh_cross_dot [29]
-----------------------------------------------
                             3924255             insert_rec [30]
                0.10    0.00   98421/98421       kd_insert [31]
[30]     0.8    0.10    0.00   98421+3924255 insert_rec [30]
                             3924255             insert_rec [30]
-----------------------------------------------
                0.00    0.10   98421/98421       wasora_instruction_mesh [11]
[31]     0.8    0.00    0.10   98421         kd_insert [31]
                0.10    0.00   98421/98421       insert_rec [30]
                0.00    0.00   98420/98420       hyperrect_extend [84]
                0.00    0.00       1/1           hyperrect_create [163]
-----------------------------------------------
                0.03    0.06       1/1           wasora_instruction_mesh [11]
[32]     0.7    0.03    0.06       1         mesh_gmsh_readmesh [32]
                0.04    0.00  812032/812032      mesh_add_material_to_list [42]
                0.02    0.00  854272/854272      mesh_add_element_to_list [48]
                0.00    0.00       4/5726477     wasora_evaluate_expression [20]
                0.00    0.00       1/2           wasora_instruction_open_file [158]
-----------------------------------------------
                0.00    0.00  137728/29131264     mesh_compute_dxdr [6]
                0.01    0.00 4193280/29131264     mesh_prism_vol [40]
                0.08    0.00 24800256/29131264     mesh_hexahedron_vol [22]
